컬렉션명,페이지_수,쿼리,평균_총_시간_ms,평균_검색_시간_ms,평균_임베딩_시간_ms
collection_0014_14000pages,14000,신경망 아키텍처,18.334879993926734,2.9340799897909164,15.40034000063315
collection_0015_15000pages,15000,딥러닝 모델의 성능 향상 방법,19.040860002860427,3.118619997985661,15.92188000213355
collection_0015_15000pages,15000,자연어 처리 기술,19.796340016182512,2.9777000192552805,16.818179993424565
collection_0015_15000pages,15000,컴퓨터 비전 알고리즘,20.73594001121819,2.976419997867197,17.759160010609776
collection_0015_15000pages,15000,강화학습 기법,17.65432001557201,2.738159999717027,14.915720012504607
collection_0015_15000pages,15000,신경망 아키텍처,18.51767998887226,2.661279996391386,15.855999989435078
collection_0016_16000pages,16000,딥러닝 모델의 성능 향상 방법,21.221759996842593,2.7902600006200373,18.431139993481338
collection_0016_16000pages,16000,자연어 처리 기술,19.191139983013272,2.7253199834376574,16.465439996682107
collection_0016_16000pages,16000,컴퓨터 비전 알고리즘,18.68413999909535,2.8164800023660064,15.867339994292704
collection_0016_16000pages,16000,강화학습 기법,18.08337999973446,2.8187799965962768,15.264019998721778
collection_0016_16000pages,16000,신경망 아키텍처,19.479160010814667,2.8301000013016164,16.648680006619543
collection_0018_17000pages,17000,딥러닝 모델의 성능 향상 방법,21.617600007448345,3.0897000106051564,18.527460005134344
collection_0018_17000pages,17000,자연어 처리 기술,17.57829999551177,2.5528599857352674,15.025140007492155
collection_0018_17000pages,17000,컴퓨터 비전 알고리즘,22.220920003019273,3.215140022803098,19.005479977931827
collection_0018_17000pages,17000,강화학습 기법,18.14170000143349,3.122200001962483,15.019000007305294
collection_0018_17000pages,17000,신경망 아키텍처,18.15925999544561,2.6256600045599043,15.533219987992197
collection_0019_18000pages,18000,딥러닝 모델의 성능 향상 방법,19.134919997304678,2.955360012128949,16.179219994228333
collection_0019_18000pages,18000,자연어 처리 기술,18.05136000039056,3.3668599906377494,14.683860004879534
collection_0019_18000pages,18000,컴퓨터 비전 알고리즘,20.651020004879683,3.191580018028617,17.45907999575138
collection_0019_18000pages,18000,강화학습 기법,21.003539999946952,3.7208800087682903,17.282099986914545
collection_0019_18000pages,18000,신경망 아키텍처,19.466660008765757,3.1550400075502694,16.311140009202063
collection_0020_19000pages,19000,딥러닝 모델의 성능 향상 방법,20.460599986836314,3.489339991938323,16.970939992461354
collection_0020_19000pages,19000,자연어 처리 기술,17.760939989238977,2.7228199993260205,15.037799999117851
collection_0020_19000pages,19000,컴퓨터 비전 알고리즘,17.489119991660118,2.643299987539649,14.845320000313222
collection_0020_19000pages,19000,강화학습 기법,22.489900013897568,3.8347799913026392,18.654620018787682
collection_0020_19000pages,19000,신경망 아키텍처,22.54034000216052,3.239319985732436,19.300480012316257
collection_0021_20000pages,20000,딥러닝 모델의 성능 향상 방법,20.45822002692148,3.032239992171526,17.425620032008737
collection_0021_20000pages,20000,자연어 처리 기술,18.71855998178944,2.838999987579882,15.879259991925208
collection_0021_20000pages,20000,컴퓨터 비전 알고리즘,17.82048000022769,2.6700199930928648,15.150160004850477
collection_0021_20000pages,20000,강화학습 기법,18.47198000177741,2.730900002643466,15.740739996545017
collection_0021_20000pages,20000,신경망 아키텍처,19.515359995421022,2.7787200058810413,16.736359987407923
collection_0022_21000pages,21000,딥러닝 모델의 성능 향상 방법,20.674340007826686,4.149700014386326,16.524319991003722
collection_0022_21000pages,21000,자연어 처리 기술,17.395620001479983,3.0508600058965385,14.34444000478834
collection_0022_21000pages,21000,컴퓨터 비전 알고리즘,17.702639987692237,3.4251999924890697,14.277120004408062
collection_0022_21000pages,21000,강화학습 기법,20.264119980856776,3.323740023188293,16.940059966873378
collection_0022_21000pages,21000,신경망 아키텍처,19.057480001356453,2.8975000139325857,16.15941998315975
collection_0023_22000pages,22000,딥러닝 모델의 성능 향상 방법,19.23023998970166,2.608199999667704,16.621699987445027
collection_0023_22000pages,22000,자연어 처리 기술,18.24616000521928,2.669860003516078,15.575979999266565
collection_0023_22000pages,22000,컴퓨터 비전 알고리즘,19.532480009365827,3.202459996100515,16.329560009762645
collection_0023_22000pages,22000,강화학습 기법,17.552759998943657,2.988679998088628,14.563699997961521
collection_0023_22000pages,22000,신경망 아키텍처,18.856999976560473,3.2542599947191775,15.602239989675581
collection_0024_23000pages,23000,딥러닝 모델의 성능 향상 방법,20.922820002306253,2.6546199922449887,18.267880007624626
collection_0024_23000pages,23000,자연어 처리 기술,17.842979996930808,2.6860799989663064,15.156559995375574
collection_0024_23000pages,23000,컴퓨터 비전 알고리즘,17.74482000619173,2.651480003260076,15.093040000647306
collection_0024_23000pages,23000,강화학습 기법,22.157100006006658,3.4129199804738164,18.743600021116436
collection_0024_23000pages,23000,신경망 아키텍처,21.89313998678699,3.4040599945001304,18.488660000730306
collection_0025_24000pages,24000,딥러닝 모델의 성능 향상 방법,18.8070600037463,2.6540199876762927,16.15274001378566
