컬렉션명,페이지_수,쿼리,Recall_5_평균,Recall_5_표준편차,Recall_10_평균,Recall_10_표준편차,Brute_Force_시간_ms,HNSW_시간_ms
collection_0012_12000pages,12000,컴퓨터 비전 알고리즘,0.8000000000000002,1.1102230246251565e-16,0.9,0.0,845.1754252115885,1.5748341878255208
collection_0012_12000pages,12000,강화학습 기법,1.0,0.0,1.0,0.0,836.6208076477051,0.0
collection_0012_12000pages,12000,신경망 아키텍처,1.0,0.0,1.0,0.0,927.8365770975748,1.8049875895182292
collection_0013_13000pages,13000,딥러닝 모델의 성능 향상 방법,1.0,0.0,1.0,0.0,909.1487725575765,13.741334279378256
collection_0013_13000pages,13000,자연어 처리 기술,1.0,0.0,1.0,0.0,934.5038731892904,7.3851744333903
collection_0013_13000pages,13000,컴퓨터 비전 알고리즘,0.8000000000000002,1.1102230246251565e-16,0.8000000000000002,1.1102230246251565e-16,904.0415287017822,0.0
collection_0013_13000pages,13000,강화학습 기법,1.0,0.0,1.0,0.0,935.5570475260416,0.0
collection_0013_13000pages,13000,신경망 아키텍처,1.0,0.0,1.0,0.0,906.3069820404053,5.28105099995931
collection_0014_14000pages,14000,딥러닝 모델의 성능 향상 방법,1.0,0.0,1.0,0.0,986.9206746419271,17.05487569173177
collection_0014_14000pages,14000,자연어 처리 기술,0.8000000000000002,1.1102230246251565e-16,0.8000000000000002,1.1102230246251565e-16,960.1709842681885,0.0
collection_0014_14000pages,14000,컴퓨터 비전 알고리즘,1.0,0.0,1.0,0.0,1067.1392281850178,5.8663686116536455
collection_0014_14000pages,14000,강화학습 기법,1.0,0.0,1.0,0.0,952.3935317993164,3.523111343383789
collection_0014_14000pages,14000,신경망 아키텍처,1.0,0.0,0.9,0.0,991.78147315979,2.0256837209065757
collection_0015_15000pages,15000,딥러닝 모델의 성능 향상 방법,1.0,0.0,0.8000000000000002,1.1102230246251565e-16,1101.8116474151611,11.298815409342447
collection_0015_15000pages,15000,자연어 처리 기술,1.0,0.0,1.0,0.0,1069.1438515981038,0.0
collection_0015_15000pages,15000,컴퓨터 비전 알고리즘,1.0,0.0,0.8000000000000002,1.1102230246251565e-16,985.5974515279134,5.2700042724609375
collection_0015_15000pages,15000,강화학습 기법,1.0,0.0,1.0,0.0,1017.5308386484783,2.505699793497721
collection_0015_15000pages,15000,신경망 아키텍처,1.0,0.0,0.9,0.0,1066.2182172139485,0.0
collection_0016_16000pages,16000,딥러닝 모델의 성능 향상 방법,1.0,0.0,1.0,0.0,1125.9994506835938,11.908690134684244
collection_0016_16000pages,16000,자연어 처리 기술,1.0,0.0,0.9,0.0,1065.6849543253581,9.285211563110352
